IDENTIFICADOR DO ATAQUE,ANO EM QUE O ATAQUE OCORREU,PREJUIZO CAUSADO PELO ATAQUE,PAIS ONDE OCORREU O ATAQUE,TIPO DE AMEACA A SEGURANCA CIBERNETICA,SETOR DA INDUSTRIA QUE SOFREU O ATAQUE,ESTRATEGIA DE DEFESA CIBERNETICA EMPREGADA PARA RESOLVER O PROBLEMA
355,2017,54.83,UK,DDOS,HEALTHCARE,AI-BASED DETECTION
356,2020,36.17,FRANCE,SQL INJECTION,RETAIL,ANTIVIRUS
357,2018,80.06,FRANCE,SQL INJECTION,GOVERNMENT,FIREWALL
358,2023,74.85,BRAZIL,MAN-IN-THE-MIDDLE,RETAIL,ANTIVIRUS
359,2021,74.01,BRAZIL,RANSOMWARE,GOVERNMENT,ANTIVIRUS
360,2015,46.2,INDIA,SQL INJECTION,GOVERNMENT,AI-BASED DETECTION
361,2017,9.59,BRAZIL,MALWARE,,
362,2017,81.19,USA,MALWARE,TELECOMMUNICATIONS,VPN
363,2022,42.8,GERMANY,SQL INJECTION,TELECOMMUNICATIONS,FIREWALL
364,2015,32.65,CHINA,RANSOMWARE,TELECOMMUNICATIONS,ANTIVIRUS
365,2018,17.99,RUSSIA,MALWARE,BANKING,FIREWALL
366,2023,30.68,GERMANY,SQL INJECTION,BANKING,FIREWALL
367,2015,82.12,JAPAN,DDOS,GOVERNMENT,VPN
368,2020,94.63,FRANCE,SQL INJECTION,EDUCATION,AI-BASED DETECTION
369,2020,54.03,RUSSIA,MAN-IN-THE-MIDDLE,BANKING,VPN
370,2020,10.54,USA,DDOS,GOVERNMENT,VPN
371,2020,34.41,RUSSIA,PHISHING,EDUCATION,VPN
372,2018,84.27,GERMANY,SQL INJECTION,EDUCATION,FIREWALL
373,2018,35.08,CHINA,RANSOMWARE,RETAIL,ANTIVIRUS
374,2018,45.11,UK,MAN-IN-THE-MIDDLE,HEALTHCARE,VPN
375,2023,92.57,AUSTRALIA,MAN-IN-THE-MIDDLE,RETAIL,ANTIVIRUS
376,2015,13.49,UK,RANSOMWARE,BANKING,AI-BASED DETECTION
377,2016,8.42,UK,PHISHING,EDUCATION,ENCRYPTION
378,2020,92.5,AUSTRALIA,PHISHING,GOVERNMENT,FIREWALL
379,2018,63.8,USA,SQL INJECTION,BANKING,ANTIVIRUS
380,2020,40.86,JAPAN,RANSOMWARE,BANKING,ENCRYPTION
381,2019,79.24,GERMANY,MALWARE,BANKING,VPN
382,2022,37.15,JAPAN,MAN-IN-THE-MIDDLE,RETAIL,ANTIVIRUS
383,2024,62.06,INDIA,MAN-IN-THE-MIDDLE,GOVERNMENT,VPN
384,2023,,FRANCE,PHISHING,EDUCATION,ENCRYPTION
385,2015,82.54,UK,MAN-IN-THE-MIDDLE,HEALTHCARE,ENCRYPTION
386,2019,34.4,USA,MALWARE,GOVERNMENT,VPN
387,2024,72.2,JAPAN,PHISHING,EDUCATION,AI-BASED DETECTION
388,2021,52.23,UK,SQL INJECTION,HEALTHCARE,ENCRYPTION
389,2024,7.16,UK,,,FIREWALL
390,2022,78.23,FRANCE,MAN-IN-THE-MIDDLE,IT,AI-BASED DETECTION
391,2020,25.1,UK,PHISHING,RETAIL,VPN
392,2024,88.54,UK,DDOS,RETAIL,ANTIVIRUS
393,2015,49.51,INDIA,PHISHING,RETAIL,ENCRYPTION
394,2018,4.08,RUSSIA,DDOS,TELECOMMUNICATIONS,VPN
395,2024,89.31,UK,PHISHING,RETAIL,AI-BASED DETECTION
396,2023,88.55,GERMANY,PHISHING,GOVERNMENT,ANTIVIRUS
397,2015,5.26,RUSSIA,SQL INJECTION,EDUCATION,VPN
398,2024,17.57,INDIA,RANSOMWARE,RETAIL,FIREWALL
399,2016,8.01,BRAZIL,DDOS,HEALTHCARE,FIREWALL
400,2016,39.86,AUSTRALIA,MALWARE,RETAIL,ANTIVIRUS
401,2021,11.61,BRAZIL,SQL INJECTION,TELECOMMUNICATIONS,ANTIVIRUS
402,2017,73.98,GERMANY,MAN-IN-THE-MIDDLE,RETAIL,VPN
403,2022,65.86,GERMANY,MAN-IN-THE-MIDDLE,IT,AI-BASED DETECTION
404,2021,41.26,AUSTRALIA,RANSOMWARE,RETAIL,ANTIVIRUS
405,2022,64.38,JAPAN,DDOS,RETAIL,
406,2022,75.01,BRAZIL,PHISHING,BANKING,AI-BASED DETECTION
407,2016,1.73,AUSTRALIA,,BANKING,AI-BASED DETECTION
408,2021,1.35,UK,PHISHING,HEALTHCARE,FIREWALL
409,2015,70.88,,SQL INJECTION,RETAIL,AI-BASED DETECTION
410,2019,32.08,INDIA,RANSOMWARE,TELECOMMUNICATIONS,AI-BASED DETECTION
411,2017,68.99,BRAZIL,PHISHING,HEALTHCARE,VPN
412,2024,9.77,JAPAN,MAN-IN-THE-MIDDLE,RETAIL,AI-BASED DETECTION
413,2019,14.53,INDIA,DDOS,TELECOMMUNICATIONS,ANTIVIRUS
414,2024,33.06,BRAZIL,SQL INJECTION,BANKING,ANTIVIRUS
415,2024,67.61,RUSSIA,MAN-IN-THE-MIDDLE,IT,VPN
416,2022,85.3,CHINA,MAN-IN-THE-MIDDLE,IT,ANTIVIRUS
417,2017,79.68,JAPAN,MAN-IN-THE-MIDDLE,BANKING,AI-BASED DETECTION
418,2022,61.87,UK,PHISHING,GOVERNMENT,ANTIVIRUS
419,2018,4.92,RUSSIA,MAN-IN-THE-MIDDLE,TELECOMMUNICATIONS,AI-BASED DETECTION
420,2019,99.97,GERMANY,PHISHING,HEALTHCARE,AI-BASED DETECTION
421,2018,95.42,CHINA,MALWARE,EDUCATION,VPN
422,2016,42.98,GERMANY,SQL INJECTION,EDUCATION,ANTIVIRUS
423,2016,68.42,AUSTRALIA,MALWARE,TELECOMMUNICATIONS,ENCRYPTION
424,2018,36.14,FRANCE,SQL INJECTION,GOVERNMENT,FIREWALL
425,2023,69.76,FRANCE,SQL INJECTION,HEALTHCARE,FIREWALL
426,2020,3.02,UK,PHISHING,HEALTHCARE,ENCRYPTION
427,2021,86.29,AUSTRALIA,MAN-IN-THE-MIDDLE,HEALTHCARE,AI-BASED DETECTION
428,2022,,GERMANY,SQL INJECTION,IT,AI-BASED DETECTION
429,2016,27.46,CHINA,PHISHING,IT,AI-BASED DETECTION
430,2024,69.28,CHINA,DDOS,GOVERNMENT,FIREWALL
431,2022,68.96,GERMANY,SQL INJECTION,EDUCATION,FIREWALL
432,2023,2.85,INDIA,SQL INJECTION,RETAIL,AI-BASED DETECTION
433,2020,53.76,UK,SQL INJECTION,GOVERNMENT,ENCRYPTION
434,2020,25.83,JAPAN,DDOS,HEALTHCARE,FIREWALL
435,2016,43.76,AUSTRALIA,SQL INJECTION,IT,ANTIVIRUS
436,2024,9.45,CHINA,PHISHING,TELECOMMUNICATIONS,ENCRYPTION
437,2024,63.57,JAPAN,MAN-IN-THE-MIDDLE,IT,VPN
438,2017,11.3,JAPAN,MAN-IN-THE-MIDDLE,,FIREWALL
439,2023,82.11,INDIA,DDOS,EDUCATION,ENCRYPTION
440,2017,5.21,USA,MAN-IN-THE-MIDDLE,IT,AI-BASED DETECTION
441,2017,98.75,UK,SQL INJECTION,GOVERNMENT,ANTIVIRUS
442,2023,55.34,UK,MALWARE,BANKING,VPN
443,2022,12.36,CHINA,MAN-IN-THE-MIDDLE,BANKING,ENCRYPTION
444,2022,6.48,FRANCE,DDOS,HEALTHCARE,ENCRYPTION
445,2021,56.53,UK,PHISHING,RETAIL,ANTIVIRUS
446,2023,41.15,INDIA,RANSOMWARE,EDUCATION,FIREWALL
447,2019,39.83,FRANCE,MALWARE,HEALTHCARE,ANTIVIRUS
448,2023,47.59,BRAZIL,SQL INJECTION,HEALTHCARE,ANTIVIRUS
449,2022,98.06,BRAZIL,PHISHING,BANKING,AI-BASED DETECTION
450,2015,57.27,CHINA,RANSOMWARE,IT,VPN
451,2016,82.49,FRANCE,DDOS,GOVERNMENT,VPN
452,2023,37.73,AUSTRALIA,MALWARE,HEALTHCARE,AI-BASED DETECTION
453,2016,77.45,USA,SQL INJECTION,GOVERNMENT,AI-BASED DETECTION
454,2017,75.52,INDIA,DDOS,GOVERNMENT,VPN
455,2018,11.28,FRANCE,RANSOMWARE,TELECOMMUNICATIONS,AI-BASED DETECTION
456,2024,36.69,BRAZIL,DDOS,TELECOMMUNICATIONS,VPN
457,2021,79.33,UK,,BANKING,FIREWALL
458,2019,59.78,RUSSIA,SQL INJECTION,BANKING,VPN
459,2024,38.65,GERMANY,DDOS,RETAIL,VPN
460,2018,85.29,,MAN-IN-THE-MIDDLE,BANKING,ENCRYPTION
461,2024,37.49,JAPAN,RANSOMWARE,RETAIL,VPN
462,2016,48.57,GERMANY,PHISHING,EDUCATION,FIREWALL
463,2019,3.0,FRANCE,PHISHING,RETAIL,FIREWALL
464,2023,33.06,UK,PHISHING,RETAIL,VPN
465,2021,70.9,UK,MALWARE,EDUCATION,ANTIVIRUS
466,2020,38.12,GERMANY,PHISHING,HEALTHCARE,ENCRYPTION
467,2021,35.19,INDIA,DDOS,TELECOMMUNICATIONS,FIREWALL
468,2017,88.9,RUSSIA,RANSOMWARE,EDUCATION,ENCRYPTION
469,2015,7.96,JAPAN,MAN-IN-THE-MIDDLE,HEALTHCARE,
470,2023,66.38,BRAZIL,RANSOMWARE,RETAIL,VPN
471,2020,91.45,AUSTRALIA,DDOS,HEALTHCARE,AI-BASED DETECTION
472,2015,63.65,GERMANY,MAN-IN-THE-MIDDLE,RETAIL,AI-BASED DETECTION
473,2023,84.19,BRAZIL,DDOS,IT,AI-BASED DETECTION
474,2015,28.35,CHINA,SQL INJECTION,IT,VPN
475,2024,84.23,CHINA,SQL INJECTION,GOVERNMENT,ANTIVIRUS
476,2020,,RUSSIA,SQL INJECTION,TELECOMMUNICATIONS,AI-BASED DETECTION
477,2020,5.95,AUSTRALIA,MALWARE,EDUCATION,FIREWALL
478,2018,84.85,USA,DDOS,GOVERNMENT,FIREWALL
479,2023,28.82,CHINA,MAN-IN-THE-MIDDLE,TELECOMMUNICATIONS,FIREWALL
480,2016,22.48,GERMANY,DDOS,GOVERNMENT,ENCRYPTION
481,2023,97.37,BRAZIL,SQL INJECTION,IT,FIREWALL
482,2020,53.32,AUSTRALIA,SQL INJECTION,TELECOMMUNICATIONS,VPN
483,2016,63.11,GERMANY,DDOS,IT,ENCRYPTION
484,2023,70.19,GERMANY,MALWARE,BANKING,FIREWALL
485,2022,92.29,FRANCE,MALWARE,IT,ENCRYPTION
486,2023,98.07,RUSSIA,MALWARE,IT,AI-BASED DETECTION
487,2019,13.96,AUSTRALIA,SQL INJECTION,RETAIL,ANTIVIRUS
488,2024,56.9,JAPAN,,,ANTIVIRUS
489,2019,32.69,CHINA,RANSOMWARE,BANKING,FIREWALL
490,2017,70.09,INDIA,DDOS,IT,ENCRYPTION
491,2019,22.62,USA,RANSOMWARE,BANKING,ENCRYPTION
492,2017,47.91,UK,RANSOMWARE,RETAIL,ENCRYPTION
493,2017,20.58,RUSSIA,PHISHING,RETAIL,VPN
494,2024,26.29,FRANCE,PHISHING,BANKING,ANTIVIRUS
495,2020,33.51,GERMANY,PHISHING,IT,FIREWALL
496,2023,68.28,JAPAN,PHISHING,EDUCATION,ANTIVIRUS
497,2021,14.72,BRAZIL,DDOS,BANKING,ANTIVIRUS
498,2015,44.29,FRANCE,PHISHING,RETAIL,ENCRYPTION
499,2023,41.54,AUSTRALIA,RANSOMWARE,RETAIL,AI-BASED DETECTION
500,2019,90.67,UK,PHISHING,TELECOMMUNICATIONS,ENCRYPTION
501,2023,,USA,RANSOMWARE,,ENCRYPTION
502,2017,83.73,FRANCE,SQL INJECTION,HEALTHCARE,ENCRYPTION
503,2018,64.62,AUSTRALIA,DDOS,EDUCATION,ANTIVIRUS
504,2018,86.38,INDIA,MALWARE,EDUCATION,VPN
505,2024,25.7,RUSSIA,PHISHING,EDUCATION,AI-BASED DETECTION
506,2021,56.2,BRAZIL,DDOS,GOVERNMENT,ANTIVIRUS
507,2021,11.38,RUSSIA,DDOS,HEALTHCARE,VPN
508,2016,92.53,USA,PHISHING,IT,ANTIVIRUS
509,2015,88.6,USA,SQL INJECTION,TELECOMMUNICATIONS,ANTIVIRUS
510,2017,30.4,USA,MAN-IN-THE-MIDDLE,IT,AI-BASED DETECTION
511,2019,90.7,UK,MALWARE,EDUCATION,VPN
512,2023,45.38,JAPAN,SQL INJECTION,HEALTHCARE,ENCRYPTION
513,2022,71.33,USA,RANSOMWARE,GOVERNMENT,AI-BASED DETECTION
514,2021,9.42,JAPAN,PHISHING,HEALTHCARE,ANTIVIRUS
515,2018,5.27,BRAZIL,MALWARE,EDUCATION,VPN
516,2018,41.59,AUSTRALIA,DDOS,RETAIL,ENCRYPTION
517,2015,98.78,USA,SQL INJECTION,EDUCATION,AI-BASED DETECTION
518,2015,61.24,CHINA,DDOS,TELECOMMUNICATIONS,AI-BASED DETECTION
519,2015,69.34,RUSSIA,MALWARE,TELECOMMUNICATIONS,VPN
520,2015,7.84,GERMANY,DDOS,RETAIL,ENCRYPTION
521,2016,57.17,USA,RANSOMWARE,RETAIL,ANTIVIRUS
522,2020,33.99,RUSSIA,DDOS,BANKING,FIREWALL
523,2024,22.45,CHINA,DDOS,IT,AI-BASED DETECTION
524,2018,27.78,FRANCE,RANSOMWARE,BANKING,VPN
525,2022,47.12,AUSTRALIA,MALWARE,EDUCATION,ANTIVIRUS
526,2016,48.77,,SQL INJECTION,TELECOMMUNICATIONS,ANTIVIRUS
527,2023,92.35,INDIA,SQL INJECTION,,ENCRYPTION
528,2019,88.98,USA,SQL INJECTION,RETAIL,FIREWALL
529,2020,61.69,JAPAN,RANSOMWARE,IT,ANTIVIRUS
530,2022,84.57,RUSSIA,MALWARE,TELECOMMUNICATIONS,ENCRYPTION
531,2021,67.87,BRAZIL,DDOS,TELECOMMUNICATIONS,ANTIVIRUS
532,2022,59.7,USA,PHISHING,IT,FIREWALL
533,2024,90.21,GERMANY,PHISHING,GOVERNMENT,VPN
534,2018,16.23,UK,SQL INJECTION,EDUCATION,ANTIVIRUS
535,2020,16.91,UK,RANSOMWARE,BANKING,AI-BASED DETECTION
536,2015,41.88,FRANCE,PHISHING,GOVERNMENT,ANTIVIRUS
537,2019,31.04,BRAZIL,MALWARE,GOVERNMENT,ANTIVIRUS
538,2016,37.12,INDIA,RANSOMWARE,HEALTHCARE,ANTIVIRUS
539,2023,46.2,RUSSIA,DDOS,HEALTHCARE,ANTIVIRUS
540,2024,98.3,JAPAN,MAN-IN-THE-MIDDLE,TELECOMMUNICATIONS,ANTIVIRUS
541,2024,16.61,USA,RANSOMWARE,IT,ENCRYPTION
542,2017,71.06,BRAZIL,MAN-IN-THE-MIDDLE,IT,ANTIVIRUS
543,2016,14.17,USA,SQL INJECTION,GOVERNMENT,VPN
544,2018,82.65,AUSTRALIA,MALWARE,HEALTHCARE,AI-BASED DETECTION
545,2018,78.27,AUSTRALIA,RANSOMWARE,IT,ANTIVIRUS
546,2022,10.44,UK,RANSOMWARE,RETAIL,FIREWALL
547,2019,21.95,RUSSIA,RANSOMWARE,HEALTHCARE,FIREWALL
548,2018,30.83,INDIA,MALWARE,HEALTHCARE,AI-BASED DETECTION
549,2020,,UK,SQL INJECTION,EDUCATION,VPN
550,2019,28.29,FRANCE,MAN-IN-THE-MIDDLE,BANKING,ANTIVIRUS
551,2022,4.06,USA,MALWARE,IT,AI-BASED DETECTION
552,2018,58.28,CHINA,RANSOMWARE,TELECOMMUNICATIONS,ENCRYPTION
553,2017,7.31,JAPAN,SQL INJECTION,HEALTHCARE,ENCRYPTION
554,2021,37.69,GERMANY,MAN-IN-THE-MIDDLE,BANKING,FIREWALL
555,2016,27.99,BRAZIL,PHISHING,RETAIL,ANTIVIRUS
556,2024,71.55,BRAZIL,RANSOMWARE,IT,ENCRYPTION
557,2024,27.13,BRAZIL,MAN-IN-THE-MIDDLE,TELECOMMUNICATIONS,VPN
558,2021,10.28,AUSTRALIA,SQL INJECTION,TELECOMMUNICATIONS,
559,2022,31.35,CHINA,PHISHING,RETAIL,FIREWALL
560,2023,80.1,CHINA,MALWARE,TELECOMMUNICATIONS,ANTIVIRUS
561,2017,42.19,USA,RANSOMWARE,BANKING,ANTIVIRUS
562,2021,40.98,UK,MAN-IN-THE-MIDDLE,EDUCATION,AI-BASED DETECTION
563,2020,58.8,FRANCE,DDOS,HEALTHCARE,ENCRYPTION
564,2019,3.33,UK,PHISHING,IT,AI-BASED DETECTION
565,2022,58.98,GERMANY,PHISHING,GOVERNMENT,ENCRYPTION
566,2023,4.6,BRAZIL,RANSOMWARE,GOVERNMENT,ANTIVIRUS
567,2019,96.91,GERMANY,SQL INJECTION,GOVERNMENT,FIREWALL
568,2022,85.91,FRANCE,PHISHING,HEALTHCARE,AI-BASED DETECTION
569,2023,51.49,GERMANY,DDOS,TELECOMMUNICATIONS,FIREWALL
570,2021,3.99,UK,RANSOMWARE,TELECOMMUNICATIONS,ENCRYPTION
571,2021,3.44,FRANCE,MALWARE,RETAIL,ANTIVIRUS
572,2020,52.7,USA,DDOS,EDUCATION,AI-BASED DETECTION
573,2016,11.58,USA,RANSOMWARE,RETAIL,ENCRYPTION
574,2021,91.69,RUSSIA,DDOS,GOVERNMENT,ANTIVIRUS
575,2015,,INDIA,MAN-IN-THE-MIDDLE,EDUCATION,ENCRYPTION
576,2021,53.49,INDIA,MAN-IN-THE-MIDDLE,IT,ENCRYPTION
577,2021,18.91,JAPAN,MAN-IN-THE-MIDDLE,TELECOMMUNICATIONS,ENCRYPTION
578,2024,15.34,USA,DDOS,RETAIL,FIREWALL
579,2018,12.72,FRANCE,DDOS,TELECOMMUNICATIONS,FIREWALL
580,2024,46.59,USA,RANSOMWARE,RETAIL,AI-BASED DETECTION
581,2021,62.9,FRANCE,SQL INJECTION,BANKING,AI-BASED DETECTION
582,2018,85.33,JAPAN,SQL INJECTION,HEALTHCARE,ANTIVIRUS
583,2016,85.15,CHINA,MALWARE,HEALTHCARE,ANTIVIRUS
584,2024,53.53,CHINA,DDOS,HEALTHCARE,VPN
585,2023,4.32,INDIA,RANSOMWARE,RETAIL,VPN
586,2024,31.68,AUSTRALIA,MAN-IN-THE-MIDDLE,TELECOMMUNICATIONS,VPN
587,2020,84.77,UK,PHISHING,,ENCRYPTION
588,2021,82.87,AUSTRALIA,MAN-IN-THE-MIDDLE,BANKING,VPN
589,2023,5.32,USA,DDOS,HEALTHCARE,ENCRYPTION
590,2023,31.48,AUSTRALIA,DDOS,IT,ANTIVIRUS
591,2020,86.0,UK,DDOS,RETAIL,ENCRYPTION
592,2024,35.47,INDIA,DDOS,RETAIL,FIREWALL
593,2024,94.75,JAPAN,PHISHING,RETAIL,VPN
594,2017,39.59,USA,SQL INJECTION,BANKING,ANTIVIRUS
595,2024,70.52,AUSTRALIA,PHISHING,BANKING,ENCRYPTION
596,2018,6.6,UK,RANSOMWARE,GOVERNMENT,AI-BASED DETECTION
597,2016,25.85,USA,SQL INJECTION,HEALTHCARE,AI-BASED DETECTION
598,2017,80.93,INDIA,RANSOMWARE,RETAIL,ANTIVIRUS
599,2018,63.81,GERMANY,MALWARE,BANKING,FIREWALL
600,2021,3.63,USA,RANSOMWARE,TELECOMMUNICATIONS,ENCRYPTION
601,2016,80.09,BRAZIL,DDOS,GOVERNMENT,ANTIVIRUS
602,2016,24.51,UK,SQL INJECTION,RETAIL,ANTIVIRUS
603,2024,56.23,UK,MAN-IN-THE-MIDDLE,IT,ENCRYPTION
604,2018,43.73,CHINA,RANSOMWARE,IT,AI-BASED DETECTION
605,2019,85.13,FRANCE,SQL INJECTION,GOVERNMENT,ANTIVIRUS
606,2017,24.05,BRAZIL,SQL INJECTION,TELECOMMUNICATIONS,ANTIVIRUS
607,2021,32.72,CHINA,RANSOMWARE,HEALTHCARE,FIREWALL
608,2015,81.75,UK,,HEALTHCARE,
609,2018,42.46,USA,PHISHING,TELECOMMUNICATIONS,ENCRYPTION
610,2017,14.54,FRANCE,SQL INJECTION,EDUCATION,AI-BASED DETECTION
611,2015,38.92,USA,MAN-IN-THE-MIDDLE,IT,ANTIVIRUS
612,2018,4.2,GERMANY,SQL INJECTION,TELECOMMUNICATIONS,ENCRYPTION
613,2015,75.91,CHINA,SQL INJECTION,TELECOMMUNICATIONS,ANTIVIRUS
614,2024,44.95,AUSTRALIA,RANSOMWARE,EDUCATION,AI-BASED DETECTION
615,2020,35.79,JAPAN,MAN-IN-THE-MIDDLE,IT,FIREWALL
616,2020,62.44,CHINA,SQL INJECTION,HEALTHCARE,FIREWALL
617,2015,19.93,BRAZIL,PHISHING,RETAIL,ANTIVIRUS
618,2019,75.31,UK,PHISHING,IT,AI-BASED DETECTION
619,2015,76.4,AUSTRALIA,PHISHING,HEALTHCARE,VPN
620,2020,28.69,INDIA,MAN-IN-THE-MIDDLE,IT,ENCRYPTION
621,2019,23.93,UK,MAN-IN-THE-MIDDLE,GOVERNMENT,ANTIVIRUS
622,2017,30.44,UK,MAN-IN-THE-MIDDLE,EDUCATION,AI-BASED DETECTION
623,2017,5.14,JAPAN,PHISHING,IT,VPN
624,2018,,BRAZIL,MAN-IN-THE-MIDDLE,BANKING,AI-BASED DETECTION
625,2023,18.53,INDIA,RANSOMWARE,IT,AI-BASED DETECTION
626,2015,1.52,INDIA,MALWARE,TELECOMMUNICATIONS,VPN
627,2019,84.89,AUSTRALIA,DDOS,HEALTHCARE,FIREWALL
628,2016,66.73,USA,DDOS,EDUCATION,AI-BASED DETECTION
629,2024,72.61,CHINA,RANSOMWARE,GOVERNMENT,VPN
630,2020,44.16,FRANCE,DDOS,GOVERNMENT,AI-BASED DETECTION
631,2022,80.05,UK,,TELECOMMUNICATIONS,FIREWALL
632,2018,13.69,RUSSIA,SQL INJECTION,TELECOMMUNICATIONS,ENCRYPTION
633,2021,29.02,USA,PHISHING,IT,AI-BASED DETECTION
634,2017,69.91,INDIA,RANSOMWARE,RETAIL,ANTIVIRUS
635,2016,3.76,UK,MALWARE,TELECOMMUNICATIONS,ENCRYPTION
636,2020,57.43,BRAZIL,PHISHING,IT,ANTIVIRUS
637,2019,63.45,UK,RANSOMWARE,RETAIL,AI-BASED DETECTION
638,2016,41.34,UK,MAN-IN-THE-MIDDLE,GOVERNMENT,FIREWALL
639,2022,22.73,AUSTRALIA,PHISHING,EDUCATION,
640,2017,5.88,BRAZIL,DDOS,IT,AI-BASED DETECTION
641,2017,9.81,INDIA,RANSOMWARE,BANKING,VPN
642,2015,94.14,USA,DDOS,IT,AI-BASED DETECTION
643,2017,33.24,GERMANY,RANSOMWARE,IT,AI-BASED DETECTION
644,2019,75.37,GERMANY,MAN-IN-THE-MIDDLE,GOVERNMENT,VPN
645,2020,49.17,JAPAN,PHISHING,EDUCATION,VPN
646,2017,94.87,GERMANY,MALWARE,TELECOMMUNICATIONS,VPN
647,2023,28.71,INDIA,SQL INJECTION,GOVERNMENT,VPN
648,2023,42.5,,SQL INJECTION,EDUCATION,ANTIVIRUS
649,2015,53.07,UK,MAN-IN-THE-MIDDLE,IT,VPN
650,2018,99.78,FRANCE,PHISHING,RETAIL,AI-BASED DETECTION
651,2024,82.87,UK,DDOS,HEALTHCARE,ANTIVIRUS
652,2018,81.46,GERMANY,MAN-IN-THE-MIDDLE,BANKING,FIREWALL
653,2023,33.66,JAPAN,RANSOMWARE,HEALTHCARE,ENCRYPTION
654,2024,99.28,JAPAN,DDOS,HEALTHCARE,VPN
655,2016,14.86,FRANCE,MAN-IN-THE-MIDDLE,RETAIL,VPN
656,2015,33.75,USA,RANSOMWARE,BANKING,VPN
657,2017,82.03,UK,SQL INJECTION,GOVERNMENT,ENCRYPTION
658,2016,9.53,INDIA,RANSOMWARE,RETAIL,FIREWALL
659,2023,6.09,GERMANY,SQL INJECTION,TELECOMMUNICATIONS,FIREWALL
660,2022,29.05,UK,DDOS,IT,ANTIVIRUS
661,2019,89.48,JAPAN,SQL INJECTION,EDUCATION,VPN
662,2018,75.2,AUSTRALIA,SQL INJECTION,EDUCATION,ANTIVIRUS
663,2016,29.33,FRANCE,SQL INJECTION,GOVERNMENT,ANTIVIRUS
664,2023,65.96,FRANCE,DDOS,EDUCATION,ANTIVIRUS
665,2017,95.2,AUSTRALIA,PHISHING,RETAIL,ANTIVIRUS
666,2023,16.02,UK,MALWARE,BANKING,ENCRYPTION
667,2018,11.19,INDIA,RANSOMWARE,BANKING,AI-BASED DETECTION
668,2017,27.42,FRANCE,SQL INJECTION,HEALTHCARE,ANTIVIRUS
669,2015,17.38,AUSTRALIA,RANSOMWARE,TELECOMMUNICATIONS,
670,2019,99.53,RUSSIA,MAN-IN-THE-MIDDLE,RETAIL,FIREWALL
671,2024,55.05,RUSSIA,DDOS,TELECOMMUNICATIONS,ANTIVIRUS
672,2022,79.6,UK,DDOS,EDUCATION,AI-BASED DETECTION
673,2017,65.18,RUSSIA,RANSOMWARE,TELECOMMUNICATIONS,FIREWALL
674,2017,25.73,CHINA,RANSOMWARE,EDUCATION,ENCRYPTION
675,2022,33.71,USA,RANSOMWARE,GOVERNMENT,VPN
676,2015,94.74,CHINA,DDOS,EDUCATION,ANTIVIRUS
677,2018,75.88,FRANCE,DDOS,IT,VPN
678,2021,75.25,INDIA,SQL INJECTION,GOVERNMENT,FIREWALL
679,2023,90.37,BRAZIL,MAN-IN-THE-MIDDLE,TELECOMMUNICATIONS,ANTIVIRUS
680,2020,14.45,FRANCE,PHISHING,RETAIL,FIREWALL
681,2022,54.47,FRANCE,RANSOMWARE,BANKING,AI-BASED DETECTION
682,2024,,INDIA,,IT,ANTIVIRUS
683,2022,84.51,AUSTRALIA,RANSOMWARE,GOVERNMENT,FIREWALL
684,2023,61.56,BRAZIL,MALWARE,HEALTHCARE,VPN
685,2024,23.32,INDIA,PHISHING,BANKING,VPN
686,2017,43.71,BRAZIL,MAN-IN-THE-MIDDLE,TELECOMMUNICATIONS,FIREWALL
687,2016,2.84,AUSTRALIA,PHISHING,TELECOMMUNICATIONS,ANTIVIRUS
688,2017,71.4,CHINA,PHISHING,IT,AI-BASED DETECTION
689,2022,90.87,INDIA,MAN-IN-THE-MIDDLE,BANKING,FIREWALL
690,2017,78.94,INDIA,SQL INJECTION,IT,ENCRYPTION
691,2022,34.33,CHINA,MALWARE,TELECOMMUNICATIONS,FIREWALL
692,2015,40.64,RUSSIA,DDOS,BANKING,AI-BASED DETECTION
693,2022,59.43,BRAZIL,MAN-IN-THE-MIDDLE,BANKING,AI-BASED DETECTION
694,2018,50.75,FRANCE,DDOS,,ANTIVIRUS
695,2024,72.18,CHINA,RANSOMWARE,BANKING,FIREWALL
696,2016,23.35,USA,MAN-IN-THE-MIDDLE,RETAIL,ANTIVIRUS
697,2020,78.32,UK,DDOS,GOVERNMENT,AI-BASED DETECTION
698,2018,20.22,CHINA,PHISHING,HEALTHCARE,FIREWALL
699,2017,33.15,JAPAN,SQL INJECTION,IT,FIREWALL
700,2021,8.82,UK,DDOS,BANKING,AI-BASED DETECTION
701,2018,43.32,JAPAN,RANSOMWARE,EDUCATION,ANTIVIRUS
702,2018,90.4,AUSTRALIA,DDOS,HEALTHCARE,ENCRYPTION
703,2017,55.34,USA,PHISHING,GOVERNMENT,ENCRYPTION
704,2019,27.89,FRANCE,DDOS,HEALTHCARE,FIREWALL
705,2020,66.04,FRANCE,RANSOMWARE,EDUCATION,FIREWALL
706,2024,10.24,INDIA,SQL INJECTION,TELECOMMUNICATIONS,ENCRYPTION
707,2017,43.82,UK,MAN-IN-THE-MIDDLE,TELECOMMUNICATIONS,FIREWALL
708,2021,3.17,UK,MALWARE,TELECOMMUNICATIONS,ANTIVIRUS
709,2016,72.73,BRAZIL,MALWARE,GOVERNMENT,FIREWALL
